pol,text
negative,I\u2019m leaving on an SIA plane... Dunno when I\u2019ll be back again. Damn sad. Will miss all of you. Cheers and take care! I\u2019ll find you when I\u2019m back.
negative,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
neutral,xuan can help me buy eggs and orange juice?
neutral,Hey fen ah... So when u free to meet up leh?
neutral,R u still working now?
positive,well... sounds fine... i have not watch a movie for some time now... time to catch a break
positive,thanx for the discs... very happy!
neutral,den i must be the onli one flooding your with smses...
neutral,Ã all write or wat..
negative,but some of our friends are not uni students so they\u2019ll have to pay
positive,yeah i think it\u2019s a good idea. so i see ya tml
neutral,I kept on trying to use the card.. that\u2019s why it took me so long to reply. Jie jie
neutral,like kent ridge ppl told me many ppl   apply it. but i also  got one that time
positive,Wah lucky man... Then can save money... Hee...
negative,You eaten? I am so hungry. But meeting now... And my acne got worse
positive,I hope just now didnt give u a huge shock. Very happy dat u give me a chance... Have an early nite.. :-)
neutral,So wat time u coming to school?
neutral,Ã wan to cycle...
neutral,Wat uniform? In where get?
positive,The song\u2019s not bad
negative,r u crazy? u canot cheat until like tat wat?!
neutral,Hmmm... Okie...i\u2019m handin in e forms too...so after our test den we go and meet em lor...
positive,Hmmm...Cant meet early... So i\u2019ll juz cya at three.... :)
positive,Yup no more already... Thanx 4 printing n handing it up.
neutral,No. I\u2019m using my brunei line. Going to but my singtel line. Was suppose to terminate the day i left but dunno why till now not yet
neutral,Yup i driving in. Its 2 bucks a person n per car. I have bk a hotel rm at rasa sentosa
positive,Yup...She must be so happy now..Ã
neutral,Yup we planning for a bbq ... But still waiting for other to confirm ...
neutral,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
positive,hi\u002c how is your mother and the operation\u002c hope all is well. pls send my regards
neutral,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it\u2019s going 2 rain soon.
neutral,I be there ard 1230. Ryan\u002cron n shuhui haven told me their time
neutral,Yeah! Onz ah... Later i most prob go buy tic if i can... Else might get someone to book online... Cya... ?
neutral,Jos ask if u wana meet up?
neutral,Who says i\u2019m sleeping on ur king size bed... Reach home already?
neutral,How heavy is my stuff
negative,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u\u2019ll have a brand new room 2 sleep in...
positive,must say thanks to my fren who had recommended this show to me
neutral,Wow they really can buy...
neutral,Morning\u002c I am in bus still sleeping?
neutral,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
neutral,Yup i\u2019m still having coffee wif my frens... My fren drove she\u2019ll give me a lift...
positive,:-j hee... Looks like must go improve Chinese... :-j jia you for this! :->
neutral,up 2 u loh...u wanna play in sch also can...i can book court 4 us...
negative,cannot . i dont have it with me now
negative,Better not lah\u002c he not my bf\u002c cant use him like t. Haha\u002c i forget abt yest already. Why\u002c anything special t got 2 tell me?? U all not meeting today?
negative,B4 I answer that\u002c I can\u2019t remember where I\u2019ve met u before. Care to refresh my memory? Sorry\u002c I have short term memory.
negative,I come le someone seating beside me is too dirty :(
positive,God may bless you with all the happiness
negative,I\u2019m stuck in da middle of da row on da right hand side of da lt...
positive,hi kate\u002c cant get u. can u call or sms me to tell me if u r still meeting me at plaza sing. Thanks
negative,No particular reason lor\u002c anyway tt day got somethin on\u002c dun wan to rush abt oso...
negative,Oh... Okie\u002c u din tell me it\u2019s ur bd... Ya\u002c i went out w her but i only realized on e day itself lor\u002c felt bad abt it...
positive,Haha... dont be angry with yourself... Take it as a practice for the real thing. =)
neutral,Just settle down after they come back from airport... Bought lot of things... One trolley there den 3 trolleys back...
neutral,eileen said maybe we mit up n go buy 2gether
neutral,Hmmm... I\u2019ll b free at 3... Meet at tis time? So we goin 4 dinner or wat....
negative,U dun say so early hor... U c already then say...
negative,Anyway i\u2019m going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
neutral,xy:Need 2 buy clothes 4 my cousin wedding this sunday lah... haiz...
neutral,Ericsson T610... Haha u decide to get one too?
positive,Haha... Hope Ã¼ can hear the receipt sound... Gd luck!
neutral,Wat time u want me to come over?
neutral,Hey\u002c are in interested in IFG bowling?
neutral,Dunno leh.. What you think?
neutral,What time is ur flight tmr?
negative,Not interested in the security job.
neutral,Yup ok... I noe\u002c surprised u still remember... U sleep early too...
negative,A bigger size bed doesn\u2019t mean it wont break.
neutral,Still going to east coast?
positive,I may not b e perfect fren u r looking 4\u002c not even the best among em all but surely i\u2019m a fren who cares. Good nite
negative,U cant pressure me\u002c i\u2019ll make u fat hee... OK lar i dun say anything let my dad cook as much as he likes.
positive,take care
neutral,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?
negative,Got c... I lazy to type... I forgot Ã¼ in lect... I saw a pouch but like not v nice...
neutral,Ok show end liao... Bedtime! Faster go slp\u002c u have to wake up early tml! Morn call at 7.55 ok?
neutral,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
neutral,by e way\u002c sat wat time n whr?
neutral,I thk 50 shd be ok he said plus minus 10.. Did Ã¼ leave a line in between paragraphs?
neutral,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
neutral,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
positive,Hey u wana meet at someplace den go look 4 e classroom... Mayb at e canteen or somethg...
negative,long time never hear from you what happen ?
positive,Ok. I am reach office. see you tomorrow and cal you tonight.
neutral,Oic... Then better quickly go bathe n settle down...
neutral,Ya let\u2019s mit. Wad time gd for you? Leon gng later by himself.
negative,Not sure leh. just pass to me first
neutral,No need to buy lunch for me.. I eat maggi mee..
neutral,Ok then later i msg u where i am.
positive,My dear\u002ccongrats... U also sleep la...  Good night.. Love u
negative,U got tell them not so loud? so do until wat time?
negative,U nvr check ur email ah... Details u have to ask cindy... We meetin at 12...
neutral,u free tml to write the intro?
negative,Hee\u002cjuz finished bathing\u002cwonder whether u can zzz?hope can la\u002cneed2wake up so early...oh no\u002cskin itchy again?e cream from doc useful?poor u:<
positive,Wow tommy if you invented that message\u002c quite a lot of number crunching yah\u002c haha.. anyway thanks for the blessings i\u2019ll give you a hug when we meet on friday k?
neutral,Call me when u\u2019re done...
neutral,Okie.. Now still doing last min revision. :-(
negative,come on don\u2019t be like that
neutral,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
neutral,I\u2019m in a movie. Call me 4 wat?
positive,Thanks for you mother?s poh piah. yummy very nice. You have one too since with me are you feeling well?
negative,Ya damn and that stupid woman needs to get fired...
positive,My area seem ok mah. Ok i got to go out liao\u002c i call u at nite k..
neutral,Yo! Wanna send yixin off at e airport tmr at 12 sth? I tot of getting some 2g pple to go then can hv mini 2g gathering. Mayb with cheney\u002c andy n jun yuan?
neutral,u free tomorrow ? wanna go movies ?
neutral,i think she should like it ba...i remembered she onced said so when we saw it?
negative,I like dis sweater fr mango but no more my size already so irritating.
neutral,E price of e discount old cd now drop 2 0.88 onwards leh. Poor thing. Now MRT so many pple. Tell me what u thinking just now leh. Please?
neutral,hahaha i increased by 0.05 instead. if only i din do too badly for 3214
neutral,how to get to yr chalet from orchard ?
neutral,wanna come to my place to watch legod\u2019s goals?
neutral,Ya\u002c it\u2019s gona b tough 4 u... Yeah\u002c it\u2019s my first choice... Dunno y i chose tt oso...
negative,Finished worked. on my way going back. very hungry and very tired leh. enjoy your dinner.
neutral,so you want? got you\u002c alex and me
negative,Haha... Sounds crazy\u002c dunno can tahan anot...
neutral,Izit... I went e shop we bought and look rite\u002c it\u2019s 59 bucks...
positive,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i\u2019m free leh... And there\u2019s a kb lesson tonight
neutral,Big brother call and ask ah hui out next week!
negative,ya right\u002c this is not morally right
neutral,Yupz... Kaiez\u002c i\u2019ll b goin.. Help me tell jo... Cos i dun have her no...
positive,good morning honey. give u a morning kiss. I woke up and was thinking of you too
neutral,Hey... Ur food sci dun have to bid 4 modules rite\u002cit\u2019s given to u? Cos i chose comp life sci\u002c den some modules same as u\u002c c if can go lect together... :)
neutral,how can i know?
neutral,u interested in coming ?
negative,Yong I might not wana try for Blast auditions cos I don\u2019t suit blast and I wanna conc on studies. But pls u shld give it a try w/o me\u002c dun miss ur final chance.
neutral,Which lect time u bid 4? I dunno if shld take gem tis sem\u002c i might take lor\u002c u leh...
positive,I\u2019m okay wif dat\u002c as long u want me can liao...
neutral,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.
positive,Me no problem la. You come to science?
negative,Oh...but yest i went out... Cant meet u oso.. Nxt time lor\u002c still got lotsa time..
neutral,Hey... I\u2019ll b at e corner lor\u002c not e middle...So dun worry la... Din c ur fren though...
neutral,are you going for the gathering??
neutral,My dear\u002c i m going to lit... How are u? Add oil for your lecture!
neutral,now still can change?
neutral,Can you tell me how to practice Metta\u002c karuna\u002c mudita and mindfulness in daily life?
neutral,I\u2019m seatin at e right side...Quite front... Shld b ez to find... U reachin?
negative,Ok then we cancel lor. We meet another time w more ppl.
positive,Thanks for the info. Do you have some reference books that I can refer to for more details?
neutral,Hey... Tmr\u2019s movie still on?
neutral,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
neutral,Which poly she goin to... But u stayin in hostel so half e time u will b so far away mah... Haha\u002c wana c how her bf look lk...
positive,Hi shan\u002c i\u2019m sorry i can\u2019t make it tmr. Going to do my hair tmr afternoon. See you tmr night for dinner okie? Good Luck!
positive,Good luck 4 ur first n last paper. (^\u002c^) jus few more hours 2 go then u can enjoy already.
neutral,I going to meet xyan for dinner\u002c just pei her eat only k..
negative,really cannot go ? long time never meet u already .... :(
neutral,Jenny got a rrom at kr. I\u2019m sleeping in her room tonight... Haha... If i\u2019m in hall wont sleep so early lah.
neutral,Pls reach here asap..we are going off soon..
neutral,Aiyo... Her lesson so early... I\u2019m still sleepin\u002c haha... Okie\u002c u go home liao den confirm w me lor...
neutral,oh\u002c ur no is on e leaflet i got from e matric fair...
negative,Wake up already. On my way there. I did not call them because i overslept.
neutral,Oh my fren said go earlier cos there will b a long queue...
positive,My dear\u002c good afternoon\u002c i m going to eat then take bus to school\u002c i m very happy that i can see u tonight!
negative,The length is e same but e top shorter n i got a fringe now. I thk i\u2019m not going liao. Too lazy. Dun wan 2 distract u also.
neutral,want so manyt ppl to notice her for what ?
neutral,Oh... I see. So when we meet? Or you look for me at ea and we go together?
negative,Sorry...cant make it today
negative,sony send spy to steal from you
neutral,hey can i borrow the text book from u? i wan to zap... can i meet u tonight? where will u b?
neutral,Book which lesson? then you msg me... I will call up after work or sth... I\u2019m going to get specs. My membership is PX3748
positive,Haha... I also think so... I keep some of e leafs for u...
positive,Wishing you a blessed Chinese New Year to you and your family!
neutral,hi dan. need your help with 3240. drop me a msg when you are free.
positive,Free temple food\u002c NICE NICE? aNYWAY\u002c hARI RAYA coming soon leh. Geylang here got HARI RAYA BAZAAR & so on? hee? later da bAO dinner fr Geylang. Mmm.NICE!
positive,ok.tats good\u002c cya then babe!
positive,yeah lor... like it a lot...
neutral,okie.i need to find some readings (again...) first.
negative,hmmm sorrie I can\u2019t cfm juz as yet... it\u2019s free entry rite?
neutral,Hey remember the girl who was talking with us after the first lecture of 4252? Can you give me her name and contact number?
negative,Huh? 6 also cannot? Then only how many mistakes?
neutral,you wan the black one or white one?
neutral,ya lor. as my  friends doing agency  job then many of them   got more tutor than student
negative,i think no need lah..i go borrows from steve
neutral,Owe me $19. Cloth is 9 and costume is estimated at 10. Btw we owe James $ for studiow rental too\u002c dat one he collect from us separately.
neutral,I am company ah boa to check up what are you doing? still in your dreaming?
negative,wah liao i dunno why you bother to include him in our group when no one likes him!! arghhhhhhhhh! you will be the death of me!
neutral,we are sitting near the back door there..come find us hor
positive,Ok... Then me wait up for u! kk dnr... enj the show. Bedtime when show end
neutral,Finish e part dat i missed yest liao. U still want 2 go out?
neutral,My dear\u002c i have finished meeting too... Now going to nuh...
neutral,Nothing\u002c smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.
neutral,last night I called you\u002c but you switch off fon.
positive,Yeah...can pig half an hr more tmr:p wah\u002cwork till 3am\u002cbetter take care of ??r health ah!so ?? cant zzz now?read some fiction\u002cor text bk\u002csure can zzz:p
positive,Haha\u002cjuz now when ? msg m? via intranet\u002cmy lab ta was beside\u002c? he tot i discuss ans w ?...but doesnt matter cos he\u2019s vv nice...h??\u002cnext time teach m? how2use!
neutral,R Ã¼ all going for bio lecture tmr... Got no more assignments rite...
positive,Now at Geylang Serai? crossing the \u2019bridge\u2019\u002c getting e \u2019chop\u2019 reminds me of my primary school days. Used 2 like it & moreover here is near my school. U no pray?
neutral,Oh... Ok lor... Den when she can make it... Oh\u002c  e qet is on wed izit...
neutral,i duno how long it lasts.im going coz later evening got dance.
neutral,Can u call me? I am out of credit
negative,As a punishment you have to go and check the answer on the topic
positive,Wish u n ur family a prosperous new year\u002c good health and also may e monkey yr bring us good romance...
neutral,Ill be late. U reach where already?
neutral,I have paid and sent receipt to you.
negative,I am not feeling well
neutral,Hey... are you going to quit soon? Xuhui and i working till end of the month
neutral,Anything lor\u002c once u ready den u come lah.
neutral,you want to go jo house later? after eleven?
neutral,ard $1000\u002c 2 times a wk. they already confirm
neutral,u workin now right?
positive,Happy birthday dear. May you be more mature as time passes. May you enjoy abundant joy and happiness. -)
neutral,Or else u can come to icq then we discuss again for the last time for the project. Then edit the final product?  print\u002c file it. Ok?
neutral,So wat time n where u wan meet me?
positive,Hmmm.... Might recognize her if i happen to c her... Wow\u002c on e bus oredi ah\u002c sure wont late one...
positive,i heard from my frens that love actually is a pretty gd show... u want to watch it?
negative,Really dun bluff me leh... U sleep early too. Nite...
neutral,Yup. How? He later meeting his friends then e 2 of us go elsewhere lor.
neutral,probably the same
neutral,what modules will u be taking this semester? wanna take 4264 together?
positive,hope thing will be fine
neutral,I need to have my stats notes back. When r u free to mit up?
neutral,u tried it? wat time e tok? cz i meetin amelia...
positive,Ya... Morn... My sis said it\u2019s on e mountain\u002c haha\u002c have to check map liao...
neutral,Then wat u need 2 bathe ur dog cant come up or must later?
neutral,U ask ghenglai and yongzhong whether they want to come or not lor.
neutral,Thu meet at cafe cartel plaza sing at 7pm. Any prob?
neutral,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I\u2019m only reaching tp mrt
negative,wah... like that not fair man...
neutral,hi\u002c the book is called marketing by kerin. i am selling the book at $24\u002c can meet u on monday
neutral,Im in senai airport waitin for my dads russian crew\u002cthen bring then for dinner\u002chope can make it back for my baby
positive,ok ok can\u2019t chat going for lect
negative,Please? please help me? Already put in so much effort & now u want 2 fang qi? I won\u2019t let u do so. Please
positive,Ok sure. U let me know where n wat time lor.
neutral,Ha ha thanks and coz lost my hand phone thus lost all the contact number carry on with you exams:)
neutral,Do Ã¼ all wan 2 meet up n combine all the parts? How\u2019s da rest of da project going?
neutral,If we go buy tickets too late sure get bad seats one. When can you be at jp? I need some time to bath before I can go out.
positive,Thanks for e dinner steph...E food is nice n e co. is great too...As in my side of e table la...Hee...
neutral,I\u2019m going out to buy mum\u2019s present ar.
neutral,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
neutral,K... Must book a not huh? so going for yoga basic on sunday?
negative,Ya\u002c i can understand... Most of my tutors r frm china too\u002c really cant catch wat r they tryin to say. Thk beta depend on myself...Din c u during lect...
positive,How come u so pig? Go lor\u002c tdy weather not bad plus tmr holiday... U eat ur lunch first lah.
negative,i cant make it on tuesday... how?
neutral,Hey mei... U goin tmr rite... Have u got anythin 4 jos?
negative,Aiyo.. So bad? Then u got go e interview anot? As is it\u2019s very wulu ah?
neutral,please meet me outside lt27 to get your stuff.
positive,Somewhere high. No one here v. gd\u002c can really take a peaceful rest. I will go back 2 where I came. Bye.
neutral,Hey u call me huh... Wat\u2019s up...
negative,I only did once\u002c e proj we did together\u002c so not v gd at it also. Borrow some books or search online 4 help...
neutral,Same to u...
negative,Da one at cine... But i dunno whether i wan to sign up a not... Dunno if they got one mth only... I scared i wun go...
neutral,e name card need another few daes n its $20 for 100 ok rite? will pass u once its done..
positive,Aiyo good good...glad you are almost home! Never mind you can rest for the whole day! Hehe
neutral,I think we go lido watch k. Den u and xyan can go orchard shopping first. Show still at 930.
neutral,Hey you not going for lect tmr ?
neutral,I\u2019m only free in the evening
neutral,Yup. U wan go tomw is it. Which branch u wan 2 go?
positive,Zack\u002c pray me a prayer yo.. hope i can finish things!
neutral,Still in group discussion? I may go to have lunch in twenty mins. Sms me when your meeting is finished.
negative,Hey... Very inconvenient for your sis a not huh?
neutral,Y Ã¼ wan to go there? C doctor?
neutral,Hai. One less option for me. So will you be there for long?
negative,I\u2019m not sure\u002c it\u2019s ard 53 vs 39. I know they touched   50 mark
neutral,Hmmm... Reach there at 1? Cos my sis goin oso... U wan to go somewhere near my hse den can fetch u oso...
neutral,eh you wan to share wen\u2019s present with me?
negative,U can just leave in my lab or pass to me tml. Sorry its so abrupt but I just realised sm of those r my frens\u2019.
positive,So fast ah\u002c hmm.. It shld be alright. Tdy e weather seem not bad\u002c u can bring ur dog out.
neutral,when you wan me to be back?
neutral,choose a colour... Just some silly test la...
neutral,Huifang... Wanna go john little sales to buy a fren\u2019s bd present... Wanna go tog? I heard there got a lot of guy\u2019s shirts...
negative,hey wads wrong with shuz ar? she keeps answering my sms-es in a very vague way. like being very secretive about everything. any idea wads going on with her??
neutral,Ailing\u002c how u going east pt from ur home? Meet u in bedok then go tog la. I got free bus to bedok mrt...
neutral,On mrt. You out? Where? I am arriving at boonlay
positive,U are most welcome. thnks t 4 reminding me yr birthday. wish u many good years to come n forever young.
positive,No la. You eat when you are hungry.
neutral,Wan Zhen are u buying gliter powder?
neutral,are u going to sch tml ?
neutral,Huh... Whole afternoon gone... Nvrmind lor\u002c nxt time go again... C whose bdae comin up...
positive,No need lah. I will try again with e one i bought.
neutral,Hey xin... Doin puzzle tmr rite... What time go ur hse leh...
neutral,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
neutral,Go where n buy? Juz buy when we get there lar.
neutral,I need to confirm with you guys regarding the small class gathering at my studio at 6pm on sunday. let me know if you guys are coming. please reply asap.
neutral,With my sis lor... We juz watched italian job.
neutral,wat are u going to buy for her present??
neutral,Hey\u002c you bro jus called me! He said that this morn you went to church and then dunno go where. Where r u now? He is looking for you!
neutral,hi\u002c can i meet you at dhoby ghaut mrt at 4.15pm to pass you the stuff?
positive,guess wad sia? i won preview tickets to this korean show! woo hoo!!!! i haven lost all my good luck just yet!
neutral,Really... But muz wait very long rite... So u book ur test date oredi...
neutral,hey wendy said that we can stay overnight at her place next week cos her parents are going to genting. u wanna stay anot?
negative,Havent yet. Think ard 8 plus n eat until 10 plus lah. Is it convenient if i come ard 10plus?
neutral,Yup. My stream requires it. There is exam of 100MCQs. Not confirm A lah\u002c so long never touch biology already. Hmm.. can I get the book from you earlier? Meet at Aljunied mrt or somewhere convenient..?
negative,Gee... My memory is bad den... I rem wrongly...
positive,Hi. Just wanna wish you a merry and blessed christmas. Hope all your wishes come true this christmas! MERRY CHRISTMAS!
neutral,Hi guys\u002c my company looking 4 developers\u002c like wat i\u2019m doing now. Any of ur friends looking 4 job let me know.
neutral,My dear\u002c i m going to your lt ah... Are u sitting with ur friends?
neutral,Hey fen ah... Wat time u wana meet me ah...
positive,I\u2019m v thankful 4 God has remind me He\u2019s e provider thru yr message. Thanks a lot!! U take care too @->--
neutral,After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor\u002c no other place to go liao...
negative,Think don need already ... We changing date again ... Her birthday on the 10 right ?
neutral,no. some secondary school kids
neutral,Den we will still b given student price and loan rite... Hey how u noe comin nxt wk?
positive,hey that xmas bash pic looks great! u look nice in it too. *saves picture*
neutral,I am going to sao mu today. Will be done only at 12
neutral,U come this aft? What time?
positive,Aiyo... Dun worry la\u002c they\u2019ll let u change one... Anyway\u002c sleep early\u002c nite nite...
neutral,same to you
positive,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again
neutral,Darren saw u then ask me. If u alone then wan do project w him i can help u ask.
neutral,Ok but where are you now? Can get tickesu first?
neutral,do we have to file for grad now?
neutral,Dunno\u002c my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...
neutral,I need $100 extra to buy some clothes
negative,Lect break.. Now very bored n tired. So how is ur stylist going to cut?
positive,Yup... From what i remb... I think should be can book...
neutral,Oh okie... I\u2019ll come right away... I\u2019m at s2... So i\u2019ll cya at e canteen...
neutral,tml meet me at tv lounge at 3pm\u002c then we go together k? see ya!
negative,Nope watching tv at home... Not going out. V bored...
neutral,maybe we can have lunch at arts canteen?
neutral,Only u? I be meeting xinyi at 12 at bishan. Can u make it?
neutral,tml I will go KL\u002c if you need buy something call my sis\u2019s num. I\u2019ll be back on fri...
neutral,Wow... U did it all nite ah... Hmmm... I got somethin on until 3 lk tt... Thk i\u2019ll msg u when i\u2019m abt done k...
neutral,Forgot to tell Ã¼ smth.. Can Ã¼ like number the sections so that it\u2019s clearer..
neutral,call her arly in the morning
positive,Ya\u002c din manage to get e timeslot i wan\u002c end up w a tut on sat\u002c n it\u2019s 1hr only\u002c arghh... Kaiez\u002c take care\u002c have a great wkend too...
neutral,Nxt wk i\u2019ll stop work on wed\u002c so wed nite?
neutral,So u sure wan go hk lar? When is ur flight?
neutral,i should b able to go down. who else going?
neutral,Ok. C u then.
positive,How come so fast. Hee.. I\u2019m sure my dear now look very pretty..
neutral,I\u2019m ard outside looking at other things. Call me when u all done.
neutral,Still at west coast... Haiz... Ã\u2019ll take forever to come back...
neutral,where u ?!?! we all here already . waiting for u
neutral,Wat time liao\u002c where still got.
neutral,How come so late one ur camp... Wat  camp is it?
neutral,As usual u can call me ard 10 smth.
neutral,Ok la... Den mum and papa leh... V ask em dey wan anythin anot den msg me again...
neutral,I\u2019m in town now so i\u2019ll jus take mrt down later.
neutral,i just got on the train...
positive,No lah\u002c just kidding... Of course i\u2019m thinking of u. Ok lah\u002c enjoy ur shopping n ur dinner later.
neutral,Aud ask whether tmr going to ghenglai house ard 5 for dinner i think..
neutral,ok see u in the lab then!
neutral,Cat\u002c have u form ur 3214 grp. Jun Yun here :)
neutral,Hi this is yijue\u002c can i meet u at 11 tmr?
positive,U wake up already? Thanx 4 e tau sar piah it\u2019s quite nice.
neutral,Haven\u2019t rent out wad... nobody offer leh.
neutral,Hi. We are going to play pool. May not be home so soon.
neutral,U ask Xyan whether she can make it\u002c if not all come for e lunch. 1 lah\u002c how long can we eat\u002c if u rush den u make a move first.
positive,not bad lah just a bit sian.where u now?
positive,Oh! Den i can drop by on sunday\u2019s match liao. Haha! Alright c u on sun! Long time Nv c u liao.
negative,Sorry ah i go toilet. Now go home bus a lot of ppl. U gd lor can sleep
positive,So good can watch tv\u002c haiz.. Ur poor bf still do need to do report.
positive,Who say i dun miss u? I\u2019ll behave well k. Tdy many stall close.
negative,Lazing ard lor. E weather dun looks good to go east coast leh.
positive,happy chinese new year kor.  may u find a good job and prosper in e yr of the monkey
neutral,hey i gonna meet u all guys for a short meeting nxt wed.. i confirm wif u all the details soon..
neutral,help me ask caroline whether she wanna go also?
neutral,The assignments were in groups though. Else you can also check out modules with code IT1XXX. Never took them before though.
